code	add	bits	bitsParamSave	bitsSave	descGroupIDs	descGroupNegative	descGroupPositive	descGroupStringAdd	descNegative	descPositive	descStringAdd	descfunc	descpriority	descval	dgrp	dgrpfunc	dgrpval	saveParamBits	stat	mapped_fields	mapping_confidence
0	200	11		11	1,2,3	to all Attributes	to all Attributes		to Strength	to Strength		1	90	1	1	1	1		strength	add=;bits=;bitsParamSave=;bitsSave=;descpriority=;descval=f12;f23;f35;f12_f13_u32;f23_f24_u32;f35_f36_u32;dgrp=f12;f23;f35;f12_f13_u32;f23_f24_u32;f35_f36_u32;dgrpfunc=f12;f23;f35;f12_f13_u32;f23_f24_u32;f35_f36_u32;dgrpval=f12;f23;f35;f12_f13_u32;f23_f24_u32;f35_f36_u32;saveParamBits=	0.000
1	200	11		11	0,2,3	to all Attributes	to all Attributes		to Energy	to Energy		1	87	1	1	1	1		energy	add=;bits=;bitsParamSave=;bitsSave=;descpriority=;descval=f12;f12_f13_u32;dgrp=f12;f12_f13_u32;dgrpfunc=f12;f12_f13_u32;dgrpval=f12;f12_f13_u32;saveParamBits=	0.000
2	200	11		11	0,1,3	to all Attributes	to all Attributes		to Dexterity	to Dexterity		1	89	1	1	1	1		dexterity	add=;bits=;bitsParamSave=;bitsSave=;descpriority=;descval=f12;f35;f12_f13_u32;f35_f36_u32;dgrp=f12;f35;f12_f13_u32;f35_f36_u32;dgrpfunc=f12;f35;f12_f13_u32;f35_f36_u32;dgrpval=f12;f35;f12_f13_u32;f35_f36_u32;saveParamBits=	0.000
3	200	11		11	0,1,2	to all Attributes	to all Attributes		to Vitality	to Vitality		1	88	1	1	1	1		vitality	add=;bits=;bitsParamSave=;bitsSave=;descpriority=;descval=f35;f35_f36_u32;dgrp=f35;f35_f36_u32;dgrpfunc=f35;f35_f36_u32;dgrpval=f35;f35_f36_u32;saveParamBits=	0.000
4				11															statpts	add=;bits=;bitsParamSave=;bitsSave=;descpriority=;descval=;dgrp=;dgrpfunc=;dgrpval=;saveParamBits=	0.000
5				9															newskills	add=;bits=;bitsParamSave=;bitsSave=;descpriority=;descval=;dgrp=;dgrpfunc=;dgrpval=;saveParamBits=	0.000
6				21															hitpoints	add=;bits=;bitsParamSave=;bitsSave=;descpriority=;descval=;dgrp=;dgrpfunc=;dgrpval=;saveParamBits=	0.000
7	500	12		21					to Life	to Life		1	79	1					maxhp	add=;bits=;bitsParamSave=;bitsSave=;descpriority=;descval=;dgrp=;dgrpfunc=;dgrpval=;saveParamBits=	0.000
8				21															mana	add=;bits=;bitsParamSave=;bitsSave=;descpriority=;descval=;dgrp=;dgrpfunc=;dgrpval=;saveParamBits=	0.000
9	500	12		21					to Mana	to Mana		1	77	1					maxmana	add=;bits=;bitsParamSave=;bitsSave=;descpriority=;descval=;dgrp=;dgrpfunc=;dgrpval=;saveParamBits=	0.000
