#code	name	spelldescstr	width	height	gentype	stackable	rlvl	rstr	rdex	1h2h	2h	1hMinDmg	1hMaxDmg	2hMinDmg	2hMaxDmg	throwMinDmg	throwMaxDmg	image	quest	strBonus	dexBonus	type	sockettype	class
01!	Athulua's Hand (1)		2	1	0		0	21	1													azsd,tier	0	
03!	Athulua's Hand (2)		2	1	0		0	32	1													azsd,tier	0	
05!	Athulua's Hand (3)		2	1	0		0	67	1													azsd,tier	0	
06!	Athulua's Hand (4)		2	1	0		0	139	1													azsd,tier	0	
07!	Athulua's Hand (Sacred)		2	1	0		0	349	1													sasz	0	
08!	Phoenix Shield (1)		3	1	0		0	0	1													azsd,tier	0	
10!	Phoenix Shield (2)		3	1	0		0	0	1													azsd,tier	0	
12!	Phoenix Shield (3)		3	1	0		0	0	1													azsd,tier	0	
13!	Phoenix Shield (4)		3	1	0		0	0	1													azsd,tier	0	
14!	Phoenix Shield (Sacred)		3	1	0		0	0	1													sasz	0	
15!	Setzschild (1)		4	1	0		0	0	1													azsd,tier	0	
17!	Setzschild (2)		4	1	0		0	0	1													azsd,tier	0	
19!	Setzschild (3)		4	1	0		0	0	1													azsd,tier	0	
1@G	Gambeson (1)		3	1	0		0	25	0													stor,tier		
1@H	Lamellar Armor (2)		3	1	0		0	46	0													stor,tier		
1@I	Kazarghand (3)		3	1	0		0	170	0													stor,tier		
1@J	Banded Plate (Sacred)		3	1	0		0	627	0													sstr		
1@M	Einherjar Helm (4)		2	1	0		0	340	0													azhm,tier		
1@N	Parma (1)		2	1	0		0	45	1													ishd,tier	0	
1@O	Aspis (2)		3	1	0		0	87	1													ishd,tier	0	
1@P	Totem Shield (3)		3	1	0		0	137	1													ishd,tier	0	
1@Q	Bladed Shield (Sacred)		3	1	0		0	550	1													sisd	0	
20!	Setzschild (4)		4	1	0		0	0	1													azsd,tier	0	
21!	Setzschild (Sacred)		4	1	0		0	0	1													sasz	0	
22!	Bull Shield (1)		4	1	0		0	23	1													basd,tier	0	
24!	Bull Shield (2)		4	1	0		0	34	1													basd,tier	0	
26!	Bull Shield (3)		4	1	0		0	71	1													basd,tier	0	
